Title,Authors,Journal,Year,Volume,Issue,Pages,DOI,Abstract,Keywords
"Patient satisfaction with peri-partum care at Bertha Gxowa district hospital, South Africa","Khumalo, N.; Rwakaikara, E.",Afr J Prim Health Care Fam Med,2020,12,1,e1-e8,10.4102/phcfm.v12i1.2409,"BACKGROUND: Patient satisfaction is one of the key outcome measures of healthcare services.Aim and Setting: To explore factors that influence women's satisfaction with peri-partum care at Bertha Gxowa district hospital, South African primary care. METHODS: A cross-sectional study involving 260 women was conducted. A structured questionnaire collected information from participants on pain relief, health education provided by healthcare providers, privacy, cleanliness of the ward and their participation in decision-making about care received in the peri-partum period. RESULTS: Most respondents were co-habiting with their partners (100, 38%) and had completed only secondary school education (119, 46%). The average participant age was 27 years, with an average parity of two children. Most participants were satisfied with the privacy (218, 84%) and the general cleanliness of the wards (233, 90%). However, large proportions of women were dissatisfied with the information given to them by doctors (104, 55%) and nurses (89, 37%), and the rest were unsure. About 189 (73%) participants were dissatisfied with the extent of their participation in decision-making about their own care. The study had a caesarean rate of 53 (20%). Compared to normal vaginal delivery, participants who had caesarean section were significantly more likely to report being satisfied with pain relief during labour (p 0.001). CONCLUSION: The study findings showed varying levels of satisfaction with different aspects of peri-partum care and suggested the need for better pain relief during vaginal delivery, information sharing by doctors and patient emancipation for decision-making about their own care.","Adult; Child, Preschool; Cross-Sectional Studies; Delivery, Obstetric/methods/*psychology; Female; Hospitals, District; Humans; Infant; Infant, Newborn; Patient Satisfaction/*statistics & numerical data; *Perinatal Care; Peripartum Period/*psychology; Pregnancy; South Africa; Surveys and Questionnaires; Young Adult; care; family medicine; general practice; maternal health; patient satisfaction; peri-partum; primary care"
A framework to estimate probability of diagnosis error in NPP advanced MCR,"Kim, A. R.; Kim, J. H.; Jang, I.; Seong, P. H.",Annals of Nuclear Energy,2018,111,,31-40,10.1016/j.anucene.2017.08.026,"Recently, a new type of main control room (MCR) has been adopted in nuclear power plants (NPPs). The new MCR, known as the advanced MCR, consists of digitalized human-system interfaces (HSIs), computer-based procedures (CPS), and soft controls while the conventional MCR includes many alarm tiles, analog indicators, hard-wired control devices, and paper-based procedures. These changes significantly affect the generic activities of the MCR operators, in relation to diagnostic activities. The aim of this paper is to suggest a framework to estimate the probabilities of diagnosis errors in the advanced MCR by updating a time reliability correlation (TRC) model. Using Bayesian inference, the TRC model was updated with the probabilities of diagnosis errors. Here, the diagnosis error data were collected from a full-scope simulator of the advanced MCR. To do this, diagnosis errors were determined based on an information processing model and their probabilities were calculated. However, these calculated probabilities of diagnosis errors were largely affected by context factors such as procedures, HSI, training, and others, known as PSFs (Performance Shaping Factors). In order to obtain the nominal diagnosis error probabilities, the weightings of PSFs were also evaluated. Then, with the nominal diagnosis error probabilities, the TRC model was updated. This led to the proposal of a framework to estimate the nominal probabilities of diagnosis errors in the advanced MCR. © 2017 Elsevier Ltd",Advanced MCR; Bayesian inference; Diagnosis error probability; Human reliability analysis (HRA); Profiling technique; Time reliability correlation (TRC) model; Bayesian networks; Computer control systems; Errors; Inference engines; Nuclear fuels; Nuclear power plants; Reliability; Reliability analysis; Error probabilities; Human reliability analysis; Probability
An architecture for internet inter-domain interconnections and bandwidth trading towards effective NGN deployment,"Kim, D.",Annals of Telecommunications,2008,63,11-12,607-619,10.1007/s12243-008-0057-y,"The International Telecommunication Union (ITUT) is developing an architecture for Next Generation Network (NGN) to provide end-to-end Quality of Service (e2e QoS), for which Internet service provider (ISP) interconnections play a key role. Furthermore, for an effective e2e QoS-guaranteed interconnection across multiple ISPs, it is of a great help to develop a framework which enables ISPs to trade their unused network capacity. This study presents Hub-and-Spoke (H&S) interconnection model, where the hub called Neutral Internet Business eXchange (NIBX) arranges Bandwidth Trading (BT) on the basis of the market mechanism. After introducing qualitative and quantitative justifications of the H&S NIBX interconnection model, we propose a platform prototype for BT based upon the H&S NIBX architecture. Presented also are some detailed descriptions of key functional elements together with decision models embedded in the functions. Operations scenarios show potential benefits of the NIBX + BT architecture for ensuring c2e QoS, the ultimate goal of ITU-T's NGN.",Internet interconnections; Inter-Domain routing; Bandwidth trading; End-to-end QoS; Hub-and-spoke network; Network economics; NGN; Network; operations and management; service level agreements; networks; Telecommunications
Building loyal customer relationship management with data mining,"Kim, Gyesoo",The Academy of Customer Satisfaction Management,2006,8,2,37-50,,"................................................................................................Progress in digital data acquisition and storage technology has resulted in growth of huge databases. Data mining uses a variety of techniques to find hidden patterns and relationship in large pools of data and infer rules from them that can be used to predict future behavior and guide decision making.The paper presents research that examines the relationship between datamining activities and performance in service operations. This study developed and emirically tested research model. Confirmatory Factor Analysis(CFA) was performed to examine the reliability and validity of the measurement model, the structural equation modeling techniques were used to evaluate the casual mdoel.Based on, this study showed that human activity and fusion of datamining system are very important in generating overall customer satisfaction and customer loyalty. And customer satisfaction has on effect on customer loyalty.The implication is that Data mining needs to be complemented by high touch and high technology to more effectively realize the customer relationship management in achieving a high level of customer satisfaction.",Data mining; Customer satisfaction; Confirmatory Factor Analysis; structural equation modeling; Business Management; Business & Economics (provided by Clarivate Analytics)
Comparison of e-Commerce Systems in Different-sized Hotels,"Kim, Hong-bumm; Ham, Seonok; Moon, Hyeyoung",,2011,21,3,137-145,,"Use of Internet is getting popular to hotel industry to promoting marketing activities.Hotel operations adopt electronic distribution channels to facilitate the operations by rendering conveniences to customers and suppliers. Literature review on the distribution channels showed the value of using traditional and electronic channels (Middleton & Clarke, 2001). O’Conner and Frew (2004) argued that the selection of appropriate distribution channels may differ according to the goals of organizations. The size of hotels may determine many characteristics of the hotel operations. Thus, the hotel size may be a criterion to make a difference in the selection of relevant distribution channels of certain types of operations in the hotel industry. While previous research confirmed the importance of using electronic distribution channels, little research has examined the selection of distribution channels by the size of hotel operations. This study proposes an investigation of electronic distribution channels of hotel operations according to size. Specifically, this study holds two research objectives: 1) to identify the basic characteristics and the underlying dimensions that portray e-Commerce systems for hotels, and 2) to compare the key dimensions of e-commerce systems and related informational activities with respect to hotel sizes.The necessity for this consideration arises from the significance of adopting e-commerce systems for S&M hotels which may not coincide with same imperatives for large hotels. In-depth interviews of managers collect data from 16 hotels chosen for the study. The participating hotels are seven large hotels (super deluxe and deluxe), and nine S&M hotels (1st, 2nd, and 3rd rated tourist). The study has value for the hotel industry by positing implications for the influence of e-commerce on hotel management.This study offers major findings: First, e-commerce has expanded throughout the hotel industry regardless of hotel size or management style. Large hotels tend to institute more e-commerce than smaller hotels, through both B-to-B and B-to-C channels. The findings also support previous research that e-procurement is an important element of e-business operational excellence for large firms (Barua et al., 2001). In particular, reinforcing e-commence is important for F&B procurement, which helps hotel management by offering cost reductions, since F&B divisions allocate higher variable costs than rooms divisions. In addition, large hotels, primarily chain-affiliated, accrue other benefits from effective customer management connected to the CRM of the central corporation, and cost reductions as a whole. Second, although S&M hotels also need to promote both B-to-B and B-to-C systems, they are able to adopt B-to-C easily due to limited resources. One suggestion is that S&M hotels place emphasis on enforcing B-to-B systems through e-Market places or in cooperation with large hotels, rather than developing unique systems, considering resources and management styles.While large hotels tend to facilitate more e-commerce than smaller hotels, this study’s results indicate that the expansion of e-commerce continues in the hotel industry regardless of the hotel’s size or management style. From a marketing perspective, the findings of the study benefit hotel industry managers’ decision-making processes with regard to investments in e-commerce and selection of effective e-commerce systems for specific hotel systems.",E-commerce; Hotel industry; Hotel’s website; Small and medium-sized hotels; In-depth interview; 电子商务，酒店业，酒店网站，中小酒店，深度访谈; Business Management; Business & Economics (provided by Clarivate Analytics)
"Impact of imperfect foresight on the optimal DER deployment, remuneration and policy","Kim, J.; Bialek, S.; Ünel, B.; Dvorkin, Y.",Applied Energy,2022,326,,12,10.1016/j.apenergy.2022.119885,"This paper proposes a decision-making framework to optimize electricity tariffs and remuneration policy for renewable energy sources operating in transmission-and distribution-level (T&D) marketplaces. We develop perfect and imperfect foresight models with a multi-level structure to investigate the effects of the inability of actors to correctly predict future remuneration on the efficiency of the decisions made by policymakers. The important advantage of the proposed models is that while they are capturing conflicting interests and different information availability of stakeholders involved, they also account for techno-economic constraints on operations of generation, transmission and distribution assets. The presented models can accommodate net metering, value stack, and distribution locational marginal price (DLMP)-based remuneration policies, which allows for their numerical comparison in terms of the effect on the optimal roll-out of distributed energy resources (DERs). The case study carried out for the NYISO and Manhattan T&D networks reveals that inaccurate foresight on the DER remuneration diminishes the social welfare under all DER remuneration policies, with the maximum loss of 1.6% across all considered scenarios.",Energy policy optimization; DER remuneration; T&D marketplaces; Multi-level optimization; Decomposition algorithm; distributed generation; renewable generation; optimization; expansion; power; equilibrium; Energy & Fuels; Engineering
Revealing the impact of renewable uncertainty on grid-assisted power-to-X: A data-driven reliability-based design optimization approach,"Kim, J.; Qi, M.; Park, J.; Moon, I.",Applied Energy,2023,339,,16,10.1016/j.apenergy.2023.121015,"Designing a reliable power-to-X (PtX) process that uses renewable energy and grid electricity as backup power is challenging due to the uncertain nature of renewables and potential limits on grid usage. To address this challenge, this paper proposes a data-driven, reliability-based optimization approach for designing a grid-assisted PtX process and understanding how the uncertainty of time-series renewable profile affects its design and optimal sizing. This approach uses generative adversarial networks (GANs) to capture the complex patterns of renewables in temporal and spatial dimensions, rather than simply treating uncertainty as a probabilistic range as in conventional methods. The optimization considers both the mean and variance of production cost as ob-jectives, while also taking into account the level of grid energy penetration as a probabilistic constraint through the reliability analysis. A power allocation and performance evaluation model is developed and used in conjunction with the optimization to assess uncertainty propagation through the PtX process and evaluate the impact of renewable uncertainty on process performance. A case study involving the production of methanol on Jeju Island in South Korea demonstrates how the mean and variance of production cost and other performance indicators can be balanced in the reliable design of PtX processes under renewable energy uncertainty, providing insights for decision-making in such situations.",Power-to-X; Chemical energy storage; Data-driven approach; Renewable; energy uncertainty; Renewable scenario generation; Reliability-based; optimization; scenario generation; wind; storage; robust; fuel; Energy & Fuels; Engineering
A methodology for the quantitative evaluation of NPP fault diagnostic systems' dynamic aspects,"Kim, J. H.; Seong, P. H.",Annals of Nuclear Energy,2000,27,16,1459-1481,10.1016/s0306-4549(00)00005-0,"A fault diagnostic system (FDS) is an operator decision support system which is implemented both to increase NPP efficiency as well as to reduce human error and cognitive workload that may cause nuclear power plant (NPP) accidents. Evaluation is an indispensable activity in constructing a reliable FDS. We first define the dynamic aspects of fault diagnostic systems (FDSs) for evaluation in this work. The dynamic aspect is concerned with the way a FDS responds to input. Next, we present a hierarchical structure in the evaluation for the dynamic aspects of FDSs. Dynamic aspects include both what a FDS provides and how a FDS operates. We define the former as content and the latter as behavior. Content and behavior contain two elements and six elements in the lower hierarchies, respectively. Content is a criterion for evaluating the integrity of a FDS, the problem types which a FDS deals with, along with the level of information. Behavior contains robustness, understandability, timeliness, transparency, effectiveness, and communicativeness of FDSs. On the other hand, the static aspects are concerned with the hardware and the software of the system. For quantitative evaluation, the method used to gain and aggregate the priorities of the criteria in this work is the analytic hierarchy process (AHP). The criteria at the lowest level are quantified through simple numerical expressions and questionnaires developed in this work. these well describe the characteristics of the criteria and appropriately use subjective, empirical, and technical methods. Finally, in order to demonstrate the feasibility of our evaluation method, we have performed one case study for the fault diagnosis module of OASYS(TM) (On-Line Operator Aid SYStem for Nuclear Power Plant), which is an operator support system developed at the Korea Advanced Institute of Science and Technology (KAIST). (C) 2000 Published by Elsevier Science Ltd. All rights reserved.",expert-system; failure; Nuclear Science & Technology
C1 Facetectomy and Ventral Fixation of Occipitoatlantoaxial Complex for Concurrent Congenital Atlanto-Occipital Dislocation and Atlantoaxial Instability in a Toy Poodle,"Kim, K. B.; Jeong, J. M.; Jeon, Y. J.; Jeong, S. M.; Kim, D. H.; Lee, H. B.",Animals (Basel),2024,14,13,,10.3390/ani14131886,"An 8-month-old, 3.4 kg, castrated male Toy Poodle was referred for progressive tetraparesis and respiratory disorder without a history of trauma. Repeated computed tomography (CT) and magnetic resonance imaging (MRI) with different positions of the neck revealed concurrent atlanto-occipital dislocation (AOD) and atlantoaxial instability (AAI) with spinal cord compression. This case was unique due to its congenital nature and the absence of trauma. The surgical treatment involved precise removal of the C1 vertebra's ventral articular facet, which was compressing on the spinal cord, attributed to its fixed and malaligned position within the atlantooccipital joint. Following facetectomy, the stabilization of the occipital bone to the C2 vertebra was achieved by screws, wire, and polymethyl methacrylate. Two days after surgery, the dog recovered ambulation and showed gradual improvement in gait, despite mild residual ataxia. Postoperative CT and radiographs showed successful decompression of the spinal cord. The screw loosening was confirmed at 114 days, which was managed successfully by extracting the affected screws. Through the 21-month monitoring period, the dog showed a normal gait with a wide-based stance of the pelvic limbs when standing and experienced no pain. This case represents the first report of concurrent congenital AOD and AAI treated with a ventral surgical approach, contributing new insights to the understanding and management of such complex cranio-cervical junction disorders in veterinary neurosurgery.",atlanto-occipital dislocation; atlantoaxial instability; cranio-cervial junction disorders; dog; facetectomy; occipitoatlantoaxial
Logistics service provider selection for disaster preparation: a socio-technical systems perspective,"Kim, S.; Ramkumar, M.; Subramanian, N.",Annals of Operations Research,2019,283,1-2,1259-1282,10.1007/s10479-018-03129-3,"Since 1990s, the world has seen a lot of advances in providing humanitarian aid through sophisticated logistics operations. The current consensus seems to be that humanitarian relief organizations (HROs) can improve their relief operations by collaborating with logistics service providers (CLSPs) in the commercial sector. The question remains: how can HROs select the most appropriate CLSP for disaster preparation? Despite its practical significance, no explicit effort has been done to identify the criteria/factors in prioritizing and selecting a CLSP for disaster relief. The present study aims to address this gap by consolidating the list of criteria from a socio-technical systems (STS) perspective. Then, to handle the interdependence among the criteria derived from the STS, we develop a hybrid multi-criteria decision making model for CLSP selection in the disaster preparedness stage. The proposed model is then evaluated by a real-life case study, providing insights into the decision-makers in both HROs and CLSPs.",Logistics service provider; Disaster relief operations; Socio-technical; systems; Multi-criteria decision analysis; Service provider selection; supply chain management; decision-making; risk-assessment; humanitarian; anp; model; partnerships; resilience; location; Operations Research & Management Science
Identifying optimal financial budget distributions for the low-carbon energy transition between emerging and developed countries,"Kim, Y. J.; Soh, M.; Cho, S. H.",Applied Energy,2022,326,,8,10.1016/j.apenergy.2022.119967,"The decision to transition to low-carbon energy often needs to identify how efficiently to mitigate greenhouse gas emissions and supply energy. The limited studies that account for cost efficiency of energy supply and carbon reduction allow a decision maker to balance energy supply against the corresponding greenhouse gas emissions for a given energy transition. Despite the contributions of these studies, they do not differentiate the analysis based on regions' or countries' varying stages of economic and political development and types of energy transitions. The objective of this research is to identify an optimal mix of different types of low-carbon energy transitions between emerging and developed countries. By employing cost efficiency of energy supply and carbon reduction, the optimization problem addresses the multiple objectives of maximizing energy supply to help improve access to electricity and maximizing carbon reduction to reach the Paris Agreement goals. We identify optimal financial budget distributions that maximize the objectives for five low-carbon energy transition sce-narios. We find that the overall transition to low-carbon energy sources reduces carbon emissions and meets growing energy demand more cost-effectively in emerging countries than it does in developed countries. These results offer motivation and justification for developed countries to increase resources and to support emerging countries' low-carbon energy transition efforts from an efficiency perspective. We also find that replacing fossil fuels with nuclear or natural gas in emerging countries is highly efficient for managing carbon reduction and energy supply. Even with the safety concern for nuclear power and natural gas as a temporary solution for the low-carbon energy transition, we show how these two energy sources can still play significant roles as transition options for managing the cost efficiency of carbon reduction and energy supply in emerging countries.",Carbon reduction; Energy supply; Low-carbon energy transition; Optimal; financial budget distributions; Sustainable development scenarios; optimization; mixes; cost; Energy & Fuels; Engineering
A systems theoretical approach to online knowledge building,"Kimmerle, J.; Moskaliuk, J.; Cress, U.; Thiel, A.",AI and Society,2011,26,1,49-60,10.1007/s00146-010-0281-7,"This article describes the phenomenon of knowledge building in online environments. Knowledge building is a process within a community, which leads to the development of knowledge. In order to analyze this process, we will look into the ways in which individuals interact with the collective as a whole. For this purpose, the psychic and social systems, which are involved here are regarded as meaning-based systems in the sense of Luhmann's systems theory-open to the environment, but operatively closed. The respective modes of operation of psychic and social systems will be examined, and ""structural coupling"" between these systems described. Another characteristic of knowledge-building communities is self-organization, which is described here in the sense of autopoiesis. A pivotal task, which knowledge-building communities have to tackle, is to handle complexity and reach common understanding. These aspects will also be described using conceptualizations of Luhmann's systems theory, illustrated by many examples. © 2010 Springer-Verlag London Limited.",Communication; Computer-mediated communication; Knowledge building; Self-organization; Systems theory; Buildings; Knowledge management; System theory; Computer mediated communication; Modes of operation; Online environments; Self organizations; Social systems; Structural coupling; Theoretical approach; Online systems
"Cognitive Difficulty in Middle Eastern and North African Adults Living in the United States Compared With Other Racial and Ethnic Categories, 2017-2021","Kindratt, T. B.; Smith, A.",American Journal of Public Health,2024,114,11,1265-1274,10.2105/ajph.2024.307803,"Objectives. To estimate the odds of having cognitive difficulties among Middle Eastern and North African (MENA) American adults and compare these odds with those of White, Black, Hispanic/Latino, Asian, American Indian or Alaska Native (AI/AN), and Native Hawaiian/Other Pacific Islander adults nationally and in the 4 states with the largest MENA populations (California, New York, Michigan, and Texas) after adjusting for sociodemographic factors. Methods. We analyzed 2017-2021 American Community Survey data (aged >= 45 years; n = 7284988), comparing presence of cognitive difficulties by race/ethnicity. Results. MENA adults had greater odds of reporting cognitive difficulties than did White (odds ratio [OR] = 1.49; 95% confidence interval [CI] = 1.42, 1.56), Black (OR = 1.20; 95% CI = 1.14, 1.26), Hispanic (OR = 1.46; 95% CI = 1.39, 1.53), Asian (OR = 1.31; 95% CI = 1.25, 1.38), and AI/AN (OR = 1.07; 95% CI = 1.01, 1.14) adults. In all 4 states, odds of having cognitive difficulties were higher among MENA than Asian adults. Other racial/ethnic comparisons differed by state. Conclusions. A separate checkbox for MENA Americans approved by the Office of Management and Budget is important so health outcomes can be studied in more detail and funds can be allocated for research and resources at state and national levels. (Am J Public Health. 2024;114(11):1265-1274. https://","nativity status; arab; disability; Public, Environmental & Occupational Health"
Clear and present danger? Applying ecological interface design to develop an aviation risk management interface,"King, B. J.; Read, G. J. M.; Salmon, P. M.",Appl Ergon,2022,99,,103643,10.1016/j.apergo.2021.103643,"Ecological Interface Design (EID) is a framework for developing dynamic interfaces that support operators to understand and take appropriate actions within highly-complex systems. This two-part study involved the development and evaluation of a novel EID-based static aviation risk management display. A within-subjects survey-based experiment employed measures of decision accuracy, situation awareness, user workload, usability, and user perceptions. Results from 23 participants showed that when compared to a risk interface utilised by a large aviation company, the EID display achieved higher usability and lower workload ratings with large effect sizes, with no differences in decision accuracy and situation awareness. The findings provide evidence that the EID framework can improve upon static traditional displays. Research contributions also include a novel model of an aviation ground operations system and an example application of EID to the development of a static display. Further research is necessary to identify the extent of the applications and benefits to static displays.",*Aviation; Awareness; Humans; Risk Management; *User-Computer Interface; Data visualisation; Ecological interface design (EID); Work domain analysis (WDA)
Documentation of the Patient Characteristics Morbid Obesity and Bariatric Surgery in the Hospital Information System and the Influence on the Number of Medication-Related Problems,"Kingma, J. S.; Brenkman, I. A. M.; van den Broek, M. P. H.; van den Bemt, Pmla; Janssen, K.; Knibbe, C. A. J.; Burgers, D. M. T.",Ann Pharmacother,2024,58,10,1020-1026,10.1177/10600280231226243,"BACKGROUND: As a result of pharmacokinetic changes, individuals with morbid obesity and/or with bariatric surgery may require dose adjustments, additional monitoring or medication should be avoided. Clinical decision support (CDS) may provide automated alerts enabling correct prescribing but requires documentation of these patient characteristics in the Hospital Information System (HIS) to prevent medication-related problems (MRPs). OBJECTIVE: The primary objective is to determine the proportion of patients with documentation of the patient characteristics morbid obesity and bariatric surgery in the HIS. The secondary objective is to compare the proportion of patients with an MRP in the group with versus without documentation. Also, the type and severity of MRPs and the medication involved are determined. METHODS: A prospective cohort study was performed. Patients admitted to the hospital were identified as morbidly obese and/or with bariatric surgery. In the identified patients, the proportion of patients with documentation of the patient characteristics in the HIS was evaluated as primary outcome. Subsequently, patient records were reviewed for MRPs, which were categorized and associated medication was registered. For the primary objective, descriptive statistics was used. For the secondary outcome, the Fisher's exact test was used. RESULTS: In 43 (21.4%, 95% confidence interval [CI]: 15.7%-27.1%) of 201 included patient (113 morbid obesity, 70 bariatric surgery and 18 both), the patient characteristics were documented. An MRP occurred in 2.3% versus 13.9% (P = 0.032) of patients with and without documentation, respectively. The most common MRP was underdosing in morbid obesity, while in patients with bariatric surgery it was prescription of contra-indicated medication. CONCLUSION AND RELEVANCE: The proportion of patients with documentation of the patient characteristics bariatric surgery and/or morbid obesity in the HIS is low, which appears to be associated with more MRPs. To improve medication safety, it is important to document these patient characteristics.","Humans; *Obesity, Morbid/surgery; *Bariatric Surgery; Male; Middle Aged; Adult; Prospective Studies; Female; *Hospital Information Systems; Drug-Related Side Effects and Adverse Reactions/prevention & control/epidemiology; Documentation; Cohort Studies; Decision Support Systems, Clinical; bariatric surgery; medication-related problems; morbid obesity"
Theoretical and experimental decisions in the creation of an artificial ecosystem for human life support in space,"Kirensky, L. V.; Gitelson, I. I.; Terskov, I. A.; Kovrov, B. G.; Lisovsky, G. M.; Okladnikov, Y. N.",Life sciences and space research,1971,9,,75-80,,"All of man's former space flights were not real ventures into space in the biological sense, as his life was supported with unregenerated earth supplies. The coming stage of space exploration requires man's long existence in the cosmos and on the other planets. This stage of man's activity outside the earth become possible only by creating small man-made ecosystems, permitting the support of his metabolism by the recycling of substances of the terrestrial biosphere. Creation of such systems is a new scientific and technical task. Man-made ecosystems are a new product of man's activity, which have no complete analogy, either in nature, or in technology. Stochastic mechanisms, which stabilize biogeocenosis, cannot be effective in small ecosystems. A technique of parametric control over biosynthesis made it possible to calculate, and put to practice, an ecosystem for man with a cyclic regeneration of the atmosphere, water and, partially, food. The specific bio-technological properties of small man-made ecosystems are being analysed. The possibility of their application for man's excursions into space and for the settlement of other planets is being considered.","Bacteria. Biotechnology. Chlorella / metabolism. *Ecological Systems, Closed. Energy Metabolism. *Environment, Controlled. Humans. Life Support Systems / *instrumentation. Man-Machine Systems. Space Flight / *instrumentation; trends. *Weightlessness; Space Life Science; Microbiology; Biotechnology & Applied Microbiology; Plant Sciences; Environmental Sciences & Ecology; Biochemistry & Molecular Biology; Engineering; Physics (provided by Clarivate Analytics)"
Research issues on product lifecycle management and information tracking using smart embedded systems,"Kiritsis, D.; Bufardi, A.; Xirouchakis, P.",Advanced Engineering Informatics,2003,17,3-4,189-202,10.1016/j.aei.2004.09.005,"PROMISE will develop appropriate technology, including product lifecycle models, product embedded information devices with associated firmware and software components and tools for decision making based on data gathered through a product lifecycle. This is done to enable and exploit the seamless flow, tracing and updating of information about a product, after its delivery to the customer and up to its final destiny (deregistration, decommissioning) and back to the designer and producer. The breakthrough contribution of PROMISE, in the long term, is to allow information flow management to go beyond the customer, to close the product lifecycle information loops, and to enable the seamless e-transformation of product lifecycle information to knowledge. The PROMISE R&D implementation plan includes fundamental and applied research activities in the disciplines of information systems modelling, smart embedded systems, short and long distance wireless communication technologies, data management and modelling, design for X and adaptive production management for beginning of life (BOL), statistical methods for predictive maintenance for middle of life (MOL) and planning and management of product end of life (EOL). After a general description of the PROMISE project, we present an example of the issues to be addressed in it. It consists of defining a data structure for recording maintainability data during the maintenance operations in order to use them in design for maintainability. (C) 2004 Elsevier Ltd. All rights reserved.",PLM; knowledge; product; lifecycle; information tracking; embedded; devices; design for maintainability; maintainability; Computer Science; Engineering
"History of sexual assault, past-year alcohol use, and alcohol-related problems in American Indian adolescents","Kirk-Provencher, K. T.; Schick, M. R.; Spillane, N. S.; Tobar-Santamaria, A.",Addictive Behaviors,2020,108,,7,10.1016/j.addbeh.2020.106441,"American Indian (AI) adolescents have been found to experience higher rates of sexual violence, alcohol misuse, and alcohol-related consequences compared to other racial and ethnic groups. Adolescent alcohol use and sexual assault experiences have been linked to increased negative consequences across physical and mental health, school, work, and legal domains. The purpose of the present study was to examine the associations among endorsing a history of experiencing sexual assault, past-year alcohol use, and experiences of alcohol-related problems, and to examine how these associations differed across sex, using a large, nationally-representative sample of reservation-dwelling AI adolescents. The present study utilized secondary data analysis of a sample of 3498 AI 7th to 12th grade students from a larger national epidemiological study. Participants completed The American Drug and Alcohol Survey (TM) to assess their alcohol use, sexual assault history, and alcohol-related consequences. Multilevel regression analyses revealed a significant effect of an alcohol use by sex by sexual assault history interaction on experiencing alcohol-related problems (b = -0.88, 95%CI [-1.55, - 0.22], p = .009). Furthermore, results revealed that males who endorsed a history of experiencing sexual assault demonstrated the strongest relationship between past-year alcohol use and alcohol-related consequences (b = 2.60, p < .001). Results indicate the importance of early intervention for alcohol use, alcohol-related problems, and sexual assault, perhaps particularly among adolescent males. Future research should examine the directionality between alcohol-use and sexual assault among AI adolescents.",American Indians; Alcohol use; Alcohol-related problems; Sexual assault; posttraumatic-stress-disorder; substance use; native-american; risk; behavior; drug-use; abuse; consequences; drinking; gender; health; Psychology; Substance Abuse
A novel algorithm developed using machine learning and a J-ACCESS database can estimate defect scores from myocardial perfusion single-photon emission tomography images,"Kiso, K.; Nakajima, K.; Nimura, Y.; Nishimura, T.",Annals of Nuclear Medicine,2024,38,12,980-988,10.1007/s12149-024-01971-z,"Background Stress myocardial perfusion single-photon emission computed tomography (SPECT) imaging (MPI) has been used to diagnose and predict the prognoses of patients with coronary artery disease (CAD). An ongoing multicenter collaboration established a Japanese database (J-ACCESS) in 2001 that includes a risk model and expert interpretations. The present study aimed to develop a novel algorithm using machine learning (ML) and resources from the J-ACCESS database to aid SPECT image interpretation. Methods We analyzed data from 1288 patients in J-ACCESS 3 and 4 databases. Three-dimensional (3D) stereoscopic images of left ventricular myocardial perfusion were reconstructed with linear transformation from the original short-axis data. Segments were extracted from U-Net, then features were extracted from each segment during the ML process. We estimated segmental scores based on weighted features obtained from fully connected layers. Correlations between segment scores interpreted by nuclear cardiology experts and estimated by ML were evaluated using a 17-segment model, summed stress (SSS), summed rest (SRS), and summed difference (SDS) scores, and ratios (%) of summed different scores (%SDS). Results The complete concordance rate of scores assessed by the experts and estimated by ML was 79.6%. The underestimated and overestimated rates were 10.3% and 10.0%, respectively. Associations between defect scores assessed by experts and ML were close, with correlation coefficients (r) of 0.923, 0.917, 0.842 and 0.853 for SSS, SRS, SDS, %SDS, respectively (p < 0.0001 for all). Conclusions We created a new algorithm to estimate MPI scores using ML and the J-ACCESS database. This algorithm should provide accurate MPI interpretation even in facilities without specialist nuclear cardiologists, and might facilitate therapeutic decision-making and predict prognoses.","Coronary artery disease; Myocardial perfusion imaging; Artificial; intelligence; Quantification; ischemic-heart-disease; artificial neural-network; chronic; kidney-disease; japanese patients; diabetes-mellitus; prognostic value; cardiac events; spect; risk; stratification; Radiology, Nuclear Medicine & Medical Imaging"
A real options approach to analyse wind energy investments under different support schemes,"Kitzing, L.; Juul, N.; Drud, M.; Boomsma, T. K.",Applied Energy,2017,188,,83-96,10.1016/j.apenergy.2016.11.104,"A real options model is developed to evaluate wind energy investments in a realistic and easily applicable way. Considering optimal investment timing and sizing (capacity choice), the model introduces a capacity constraint as part of the optimisation. Several correlated uncertainty factors are combined into a single stochastic process, which allows for analytical (closed-form) solutions. The approach is well suited for quantitative policy analysis, such as the comparison of different support schemes. A case study for offshore wind in the Baltic Sea quantifies differences in investment incentives under feed-in tariffs, feed-in premiums and tradable green certificates. Investors can under certificate schemes require up to 3% higher profit margins than under tariffs due to higher variance in profits. Feed-in tariffs may lead to 15% smaller project sizes. This trade-off between faster deployment of smaller projects and slower deployment of larger projects is neglected using traditional net present value approaches. In the analysis of such trade-off, previous real options studies did not consider a capacity constraint, which is here shown to decrease the significance of the effect. The impact on investment incentives also depends on correlations between the underlying stochastic factors. The results may help investors to make informed investment decisions and policy makers to strategically design renewable support and develop tailor-made incentive schemes. (C) 2016 Elsevier Ltd. All rights reserved.",Investment under uncertainty; Closed-form solution; Capacity constraint; Renewable energy; Feed-in tariffs; Green certificates; valuation; power; uncertainty; generation; dynamics; system; risks; state; farm; Energy & Fuels; Engineering
